onetsoc_code,title,job_zone,routine_cognitive_tasks,manual_tasks,social_tasks,nonroutine_cognitive_tasks,risk_score,risk_label
13-2023.00,Appraisers and Assessors of Real Estate,4.0,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,2,Moderate Risk
13-2031.00,Budget Analysts,4.0,0.07692307692307693,0.0,0.07692307692307693,0.3076923076923077,1,Low Risk
13-2041.00,Credit Analysts,4.0,0.18181818181818182,0.0,0.0,0.5454545454545454,1,Low Risk
13-2051.00,Financial and Investment Analysts,4.0,0.07692307692307693,0.0,0.0,0.38461538461538464,1,Low Risk
13-2052.00,Personal Financial Advisors,4.0,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.6190476190476191,1,Low Risk
13-2053.00,Insurance Underwriters,4.0,0.2857142857142857,0.0,0.0,0.14285714285714285,2,Moderate Risk
13-2054.00,Financial Risk Specialists,4.0,0.16666666666666666,0.0,0.03333333333333333,0.36666666666666664,1,Low Risk
13-2061.00,Financial Examiners,4.0,0.35294117647058826,0.0,0.23529411764705882,0.35294117647058826,0,Low Risk
13-2071.00,Credit Counselors,4.0,0.17391304347826086,0.043478260869565216,0.30434782608695654,0.34782608695652173,0,Low Risk
13-2072.00,Loan Officers,4.0,0.16666666666666666,0.0,0.13333333333333333,0.23333333333333334,0,Low Risk
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.0,0.42857142857142855,0.0,0.19047619047619047,0.19047619047619047,2,Moderate Risk
13-2082.00,Tax Preparers,3.0,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,2,Moderate Risk
13-2099.00,"Financial Specialists, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
13-2099.01,Financial Quantitative Analysts,5.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.6666666666666666,0,Low Risk
13-2099.04,"Fraud Examiners, Investigators and Analysts",4.0,0.13043478260869565,0.0,0.043478260869565216,0.17391304347826086,2,Moderate Risk
15-1211.00,Computer Systems Analysts,3.0,0.2727272727272727,0.045454545454545456,0.22727272727272727,0.36363636363636365,0,Low Risk
15-1211.01,Health Informatics Specialists,5.0,0.11764705882352941,0.058823529411764705,0.35294117647058826,0.8823529411764706,0,Low Risk
15-1212.00,Information Security Analysts,4.0,0.5454545454545454,0.0,0.09090909090909091,0.18181818181818182,3,High Risk
15-1221.00,Computer and Information Research Scientists,5.0,0.2,0.0,0.0,0.4,1,Low Risk
15-1231.00,Computer Network Support Specialists,4.0,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,1,Low Risk
15-1232.00,Computer User Support Specialists,3.0,0.125,0.25,0.125,0.3125,0,Low Risk
15-1241.00,Computer Network Architects,4.0,0.12121212121212122,0.15151515151515152,0.12121212121212122,0.6363636363636364,0,Low Risk
15-1241.01,Telecommunications Engineering Specialists,3.0,0.15384615384615385,0.19230769230769232,0.11538461538461539,0.19230769230769232,1,Low Risk
15-1242.00,Database Administrators,4.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4444444444444444,0,Low Risk
15-1243.00,Database Architects,4.0,0.2,0.04,0.16,0.64,0,Low Risk
15-1243.01,Data Warehousing Specialists,4.0,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.3888888888888889,0,Low Risk
15-1244.00,Network and Computer Systems Administrators,4.0,0.3,0.25,0.05,0.3,1,Low Risk
15-1251.00,Computer Programmers,4.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.29411764705882354,1,Low Risk
15-1252.00,Software Developers,4.0,0.17647058823529413,0.17647058823529413,0.0,0.47058823529411764,1,Low Risk
15-1253.00,Software Quality Assurance Analysts and Testers,4.0,0.3,0.1,0.03333333333333333,0.4,1,Low Risk
15-1254.00,Web Developers,3.0,0.20689655172413793,0.034482758620689655,0.2413793103448276,0.5172413793103449,0,Low Risk
15-1255.00,Web and Digital Interface Designers,4.0,0.23333333333333334,0.0,0.1,0.5666666666666667,1,Low Risk
15-1255.01,Video Game Designers,4.0,0.16666666666666666,0.0,0.0,0.5833333333333334,1,Low Risk
15-1299.00,"Computer Occupations, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
15-1299.01,Web Administrators,4.0,0.34285714285714286,0.08571428571428572,0.22857142857142856,0.45714285714285713,0,Low Risk
15-1299.02,Geographic Information Systems Technologists and Technicians,3.0,0.06896551724137931,0.0,0.10344827586206896,0.41379310344827586,0,Low Risk
15-1299.03,Document Management Specialists,4.0,0.782608695652174,0.043478260869565216,0.17391304347826086,0.2608695652173913,1,Low Risk
15-1299.04,Penetration Testers,4.0,0.09090909090909091,0.0,0.09090909090909091,0.3181818181818182,1,Low Risk
15-1299.05,Information Security Engineers,4.0,0.25,0.1,0.1,0.3,1,Low Risk
15-1299.06,Digital Forensics Analysts,4.0,0.25,0.0,0.25,0.25,0,Low Risk
15-1299.07,Blockchain Engineers,4.0,0.058823529411764705,0.0,0.058823529411764705,0.5294117647058824,1,Low Risk
15-1299.08,Computer Systems Engineers/Architects,3.0,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.6071428571428571,0,Low Risk
15-1299.09,Information Technology Project Managers,4.0,0.23809523809523808,0.0,0.0,0.38095238095238093,1,Low Risk
15-2011.00,Actuaries,4.0,0.0,0.0,0.4,0.2,1,Low Risk
15-2021.00,Mathematicians,5.0,0.0,0.08333333333333333,0.0,0.5,1,Low Risk
15-2031.00,Operations Research Analysts,5.0,0.058823529411764705,0.0,0.058823529411764705,0.47058823529411764,1,Low Risk
15-2041.00,Statisticians,5.0,0.10526315789473684,0.0,0.0,0.5263157894736842,1,Low Risk
15-2041.01,Biostatisticians,5.0,0.16,0.0,0.08,0.6,1,Low Risk
15-2051.00,Data Scientists,4.0,0.0625,0.125,0.0625,0.25,1,Low Risk
15-2051.01,Business Intelligence Analysts,4.0,0.23529411764705882,0.0,0.17647058823529413,0.29411764705882354,0,Low Risk
15-2051.02,Clinical Data Managers,4.0,0.47619047619047616,0.0,0.09523809523809523,0.38095238095238093,2,Moderate Risk
15-2099.00,"Mathematical Science Occupations, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
15-2099.01,Bioinformatics Technicians,4.0,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.3684210526315789,1,Low Risk
17-1011.00,"Architects, Except Landscape and Naval",5.0,0.20833333333333334,0.0,0.08333333333333333,0.625,1,Low Risk
17-1012.00,Landscape Architects,4.0,0.0,0.0,0.10526315789473684,0.8421052631578947,0,Low Risk
17-1021.00,Cartographers and Photogrammetrists,4.0,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,2,Moderate Risk
17-1022.00,Surveyors,4.0,0.25,0.0,0.041666666666666664,0.25,1,Low Risk
17-1022.01,Geodetic Surveyors,4.0,0.125,0.0,0.0,0.25,1,Low Risk
17-2011.00,Aerospace Engineers,4.0,0.1875,0.0,0.0,0.8125,1,Low Risk
17-2021.00,Agricultural Engineers,4.0,0.35714285714285715,0.0,0.14285714285714285,0.6428571428571429,0,Low Risk
17-2031.00,Bioengineers and Biomedical Engineers,4.0,0.36666666666666664,0.03333333333333333,0.1,0.6333333333333333,1,Low Risk
17-2041.00,Chemical Engineers,4.0,0.5714285714285714,0.07142857142857142,0.0,0.6428571428571429,2,Moderate Risk
17-2051.00,Civil Engineers,4.0,0.0625,0.1875,0.0625,0.5625,1,Low Risk
17-2051.01,Transportation Engineers,4.0,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.5384615384615384,1,Low Risk
17-2051.02,Water/Wastewater Engineers,4.0,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.75,1,Low Risk
17-2061.00,Computer Hardware Engineers,4.0,0.2777777777777778,0.2222222222222222,0.3333333333333333,0.5555555555555556,0,Low Risk
17-2071.00,Electrical Engineers,4.0,0.045454545454545456,0.2727272727272727,0.18181818181818182,0.4090909090909091,0,Low Risk
17-2072.00,"Electronics Engineers, Except Computer",4.0,0.1,0.3,0.1,0.55,1,Low Risk
17-2072.01,Radio Frequency Identification Device Specialists,4.0,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.23809523809523808,1,Low Risk
17-2081.00,Environmental Engineers,4.0,0.1724137931034483,0.06896551724137931,0.20689655172413793,0.3793103448275862,0,Low Risk
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4.0,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.4444444444444444,1,Low Risk
17-2111.02,Fire-Prevention and Protection Engineers,4.0,0.07142857142857142,0.07142857142857142,0.0,0.5714285714285714,1,Low Risk
17-2112.00,Industrial Engineers,4.0,0.3,0.05,0.05,0.45,1,Low Risk
17-2112.01,Human Factors Engineers and Ergonomists,5.0,0.23076923076923078,0.038461538461538464,0.07692307692307693,0.5,1,Low Risk
17-2112.02,Validation Engineers,4.0,0.38095238095238093,0.0,0.09523809523809523,0.23809523809523808,1,Low Risk
17-2112.03,Manufacturing Engineers,4.0,0.375,0.041666666666666664,0.08333333333333333,0.625,1,Low Risk
17-2121.00,Marine Engineers and Naval Architects,4.0,0.2,0.2,0.03333333333333333,0.36666666666666664,1,Low Risk
17-2131.00,Materials Engineers,4.0,0.23809523809523808,0.0,0.047619047619047616,0.47619047619047616,1,Low Risk
17-2141.00,Mechanical Engineers,4.0,0.21428571428571427,0.14285714285714285,0.03571428571428571,0.5714285714285714,1,Low Risk
17-2141.01,Fuel Cell Engineers,4.0,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.46153846153846156,1,Low Risk
17-2141.02,Automotive Engineers,4.0,0.04,0.0,0.04,0.6,1,Low Risk
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4.0,0.3333333333333333,0.05555555555555555,0.0,0.5555555555555556,1,Low Risk
17-2161.00,Nuclear Engineers,4.0,0.2,0.0,0.0,0.65,1,Low Risk
17-2171.00,Petroleum Engineers,4.0,0.21739130434782608,0.08695652173913043,0.043478260869565216,0.5217391304347826,1,Low Risk
17-2199.00,"Engineers, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
17-2199.03,"Energy Engineers, Except Wind and Solar",4.0,0.19047619047619047,0.047619047619047616,0.0,0.42857142857142855,1,Low Risk
17-2199.05,Mechatronics Engineers,4.0,0.34782608695652173,0.0,0.0,0.7391304347826086,1,Low Risk
17-2199.06,Microsystems Engineers,5.0,0.5161290322580645,0.06451612903225806,0.03225806451612903,0.6451612903225806,2,Moderate Risk
17-2199.07,Photonics Engineers,4.0,0.19230769230769232,0.038461538461538464,0.038461538461538464,0.7307692307692307,1,Low Risk
17-2199.08,Robotics Engineers,4.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5416666666666666,1,Low Risk
17-2199.09,Nanosystems Engineers,5.0,0.24,0.12,0.08,0.56,1,Low Risk
17-2199.10,Wind Energy Engineers,4.0,0.25,0.0625,0.0625,0.375,1,Low Risk
